"","country","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region","dollars_per_day","group"
"1","Albania",1960,115.4,62.87,6.19,1636054,NA,"Europe","Southern Europe",NA,"west"
"2","Algeria",1960,148.2,47.5,7.65,11124892,13828152297,"Africa","Northern Africa",3.40545766726581,"developing"
"3","Angola",1960,208,35.98,7.32,5270844,NA,"Africa","Middle Africa",NA,"developing"
"4","Antigua and Barbuda",1960,NA,62.97,4.43,54681,NA,"Americas","Caribbean",NA,"developing"
"5","Argentina",1960,59.87,65.39,3.11,20619075,108322326649,"Americas","South America",14.3931528290427,"developing"
"6","Armenia",1960,NA,66.86,4.55,1867396,NA,"Asia","Western Asia",NA,"developing"
"7","Aruba",1960,NA,65.66,4.82,54208,NA,"Americas","Caribbean",NA,"developing"
"8","Australia",1960,20.3,70.87,3.45,10292328,96677859364,"Oceania","Australia and New Zealand",25.734784936178,"west"
"9","Austria",1960,37.3,68.75,2.7,7065525,52392699681,"Europe","Western Europe",20.3157787937406,"west"
"10","Azerbaijan",1960,NA,61.33,5.57,3897889,NA,"Asia","Western Asia",NA,"developing"
"11","Bahamas",1960,51,62,4.5,109526,1306269490,"Americas","Caribbean",32.6755338508477,"developing"
"12","Bahrain",1960,134.5,51.64,7.09,162501,NA,"Asia","Western Asia",NA,"developing"
"13","Bangladesh",1960,176.3,46.2,6.73,48200702,12767231590,"Asia","Southern Asia",0.725688947122212,"developing"
"14","Barbados",1960,69.5,61.8,4.33,230934,784120376,"Americas","Caribbean",9.30254965808294,"developing"
"15","Belarus",1960,NA,71.59,2.74,8190027,NA,"Europe","Eastern Europe",NA,"developing"
"16","Belgium",1960,29.5,69.59,2.6,9140563,68236665814,"Europe","Western Europe",20.4527630686889,"west"
"17","Belize",1960,NA,60.08,6.5,92068,86532304,"Americas","Central America",2.57499680105413,"developing"
"18","Benin",1960,186.9,38.29,6.28,2431620,621797131,"Africa","Western Africa",0.700583883814759,"developing"
"19","Bhutan",1960,175,35.94,6.67,224108,NA,"Asia","Southern Asia",NA,"developing"
